[CHROME BROWSER]

"Task: 1, Test Name: Displays logo, DOM Id: #A____8, Browser: chrome, Viewport: 768 X 700, Device: Tablet, Status: pass
"Task: 1, Test Name: Displays the top banner, DOM Id: #DIV__topbanner__187, Browser: chrome, Viewport: 768 X 700, Device: Tablet, Status: pass
"Task: 1, Test Name: Displays Account icon, DOM Id: #DIV__dropdowndr__55, Browser: chrome, Viewport: 768 X 700, Device: Tablet, Status: pass
"Task: 1, Test Name: Displays shoppingCart icon on navbar, DOM Id: #A__cartbt__49, Browser: chrome, Viewport: 768 X 700, Device: Tablet, Status: pass
"Task: 1, Test Name: Shows sorting options with consistent number of items on dropdown, DOM Id: #DIV__sortselect__193, Browser: chrome, Viewport: 768 X 700, Device: Tablet, Status: pass
"Task: 1, Test Name: should show equal number of items in the page, DOM Id: .grid_item, Browser: chrome, Viewport: 768 X 700, Device: Tablet, Status: pass
"Task: 1, Test Name: should show countdown consistency, DOM Id: .countdown, Browser: chrome, Viewport: 768 X 700, Device: Tablet, Status: pass
"Task: 1, Test Name: should show discounts consistency, DOM Id: .ribbon, Browser: chrome, Viewport: 768 X 700, Device: Tablet, Status: pass
"Task: 1, Test Name: shows language selection dropdown option, DOM Id: #DIV__styledsele__459, Browser: chrome, Viewport: 768 X 700, Device: Tablet, Status: pass
"Task: 1, Test Name: shows currency selection dropdown option, DOM Id: #DIV__styledsele__466, Browser: chrome, Viewport: 768 X 700, Device: Tablet, Status: pass
"Task: 1, Test Name: shows copyright information, DOM Id: #DIV__collg__470, Browser: chrome, Viewport: 768 X 700, Device: Tablet, Status: pass
"Task: 1, Test Name: Displays logo, DOM Id: #A____8, Browser: chrome, Viewport: iphone-x [portrait], Device: Mobile, Status: pass
"Task: 1, Test Name: Displays the top banner, DOM Id: #DIV__topbanner__187, Browser: chrome, Viewport: iphone-x [portrait], Device: Mobile, Status: pass
"Task: 1, Test Name: Displays Account icon, DOM Id: #DIV__dropdowndr__55, Browser: chrome, Viewport: iphone-x [portrait], Device: Mobile, Status: pass
"Task: 1, Test Name: Displays shoppingCart icon on navbar, DOM Id: #A__cartbt__49, Browser: chrome, Viewport: iphone-x [portrait], Device: Mobile, Status: pass
"Task: 1, Test Name: Shows sorting options with consistent number of items on dropdown, DOM Id: #DIV__sortselect__193, Browser: chrome, Viewport: iphone-x [portrait], Device: Mobile, Status: pass
"Task: 1, Test Name: should show equal number of items in the page, DOM Id: .grid_item, Browser: chrome, Viewport: iphone-x [portrait], Device: Mobile, Status: pass
"Task: 1, Test Name: should show countdown consistency, DOM Id: .countdown, Browser: chrome, Viewport: iphone-x [portrait], Device: Mobile, Status: pass
"Task: 1, Test Name: should show discounts consistency, DOM Id: .ribbon, Browser: chrome, Viewport: iphone-x [portrait], Device: Mobile, Status: pass
"Task: 1, Test Name: shows language selection dropdown option, DOM Id: #DIV__styledsele__459, Browser: chrome, Viewport: iphone-x [portrait], Device: Mobile, Status: pass
"Task: 1, Test Name: shows currency selection dropdown option, DOM Id: #DIV__styledsele__466, Browser: chrome, Viewport: iphone-x [portrait], Device: Mobile, Status: pass
"Task: 1, Test Name: shows copyright information, DOM Id: #DIV__collg__470, Browser: chrome, Viewport: iphone-x [portrait], Device: Mobile, Status: pass
"Task: 1, Test Name: Displays logo, DOM Id: #A____8, Browser: chrome, Viewport: 1200 X 700, Device: Laptop, Status: pass
"Task: 1, Test Name: Displays the top banner, DOM Id: #DIV__topbanner__187, Browser: chrome, Viewport: 1200 X 700, Device: Laptop, Status: pass
"Task: 1, Test Name: Displays Account icon, DOM Id: #DIV__dropdowndr__55, Browser: chrome, Viewport: 1200 X 700, Device: Laptop, Status: pass
"Task: 1, Test Name: Displays shoppingCart icon on navbar, DOM Id: #A__cartbt__49, Browser: chrome, Viewport: 1200 X 700, Device: Laptop, Status: pass
"Task: 1, Test Name: Shows sorting options with consistent number of items on dropdown, DOM Id: #DIV__sortselect__193, Browser: chrome, Viewport: 1200 X 700, Device: Laptop, Status: pass
"Task: 1, Test Name: should show equal number of items in the page, DOM Id: .grid_item, Browser: chrome, Viewport: 1200 X 700, Device: Laptop, Status: pass
"Task: 1, Test Name: should show countdown consistency, DOM Id: .countdown, Browser: chrome, Viewport: 1200 X 700, Device: Laptop, Status: pass
"Task: 1, Test Name: should show discounts consistency, DOM Id: .ribbon, Browser: chrome, Viewport: 1200 X 700, Device: Laptop, Status: pass
"Task: 1, Test Name: shows language selection dropdown option, DOM Id: #DIV__styledsele__459, Browser: chrome, Viewport: 1200 X 700, Device: Laptop, Status: pass
"Task: 1, Test Name: shows currency selection dropdown option, DOM Id: #DIV__styledsele__466, Browser: chrome, Viewport: 1200 X 700, Device: Laptop, Status: pass
"Task: 1, Test Name: shows copyright information, DOM Id: #DIV__collg__470, Browser: chrome, Viewport: 1200 X 700, Device: Laptop, Status: pass
"Task: 1, Test Name: shows search placeholder on the search field, DOM Id: #INPUTtext____42, Browser: chrome, Viewport: 1200 X 700, Device: Laptop, Status: pass
"Task: 1, Test Name: shows filter button, DOM Id: #filterBtn, Browser: chrome, Viewport: 1200 X 700, Device: Laptop, Status: pass
"Task: 1, Test Name: shows reset button, DOM Id: #resetBtn, Browser: chrome, Viewport: 1200 X 700, Device: Laptop, Status: pass
"Task: 1, Test Name: shows wishlist icon on navbar, DOM Id: #A__wishlist__52, Browser: chrome, Viewport: 1200 X 700, Device: Laptop, Status: pass
"Task: 1, Test Name: shows submenu for item categories on navbar, DOM Id: #UL____21, Browser: chrome, Viewport: 1200 X 700, Device: Laptop, Status: pass
